OBJECTID,FACILITYID,SUBTYPE,OWNER,LIFECYCLESTATUS,INSTALLDATE,DIAMETER_FT,RIM_ELEV,INVERT1,INVERT2,INVERT3,INVERT4,INVERT5,INVERT6,DEPTH,COMMENTS,GROUNDELEVATION,ENABLED,x,y
10684,23755STMH,1,DPUB,ACT,,,,5299.91,,,,,,,,5314,1,3130871.53497465,1694197.95654471
10685,600455STMH,1,DPUB,ACT,7/7/2007 12:00:00 AM,,,5214.37,5215,5214,,,,8.05,,5222,1,3142265.81402332,1694200.48213021
10686,865731STMH,1,PRIV,ACT,10/10/2013 12:00:00 AM,5,,5192.28,5192.39,5192.4,,,,4.48,,5196.76,1,3137792.61955765,1694200.92438655
10687,600368STMH,1,DPUB,ACT,7/7/2007 12:00:00 AM,,,5211.57,5211.42,5211.34,,,,6.66,,5218,1,3141935.97872497,1694206.32398205
10688,23751STMH,1,PRIV,ACT,2/4/2000 12:00:00 AM,,,,,,,,,,,5221.63,1,3139541.34867173,1694208.06610455
10689,1503346STMH,1,PRIV,ACT,8/1/2019 12:00:00 AM,6,5215.83,5209.33,5208.38,5207.59,,,,8.24,6' Flat Top Underground Detention Storm MH #B1,5212.06499963,1,3134171.78559197,1694211.39090104
10690,600271STMH,1,DPUB,ACT,7/7/2007 12:00:00 AM,,,5210.94,5212.25,5210.88,,,,7.12,,5218,1,3141603.61849731,1694212.09595214
10691,622213STMH,1,PRIV,ACT,12/19/2007 12:00:00 AM,,,,,,,,,,,5222,1,3142331.77255282,1694214.22947805
10692,1503341STMH,1,PRIV,ACT,8/1/2019 12:00:00 AM,6,5215.89,5209.54,5211.71,5208.86,5208.86,,,7.03,6' Eccentric Flat Top Underground Detention Facility MH #B2,5212.67831336,1,3134145.11438549,1694216.57560197
10693,1614389STMH,1,PRIV,ACT,4/15/2019 12:00:00 AM,4,5217.81,5209.41,5209.36,,,,,8.45,121 deg angle,5218,1,3141703.09861331,1694218.07363047
10694,23735STMH,1,DPUB,ACT,,,,5237.09,5237.04,,,,,,,5240,1,3143377.22879523,1694223.63103405
10695,23720STMH,1,DPUB,ACT,6/1/1911 12:00:00 AM,,,5209.78,,,,,,8.22,,5218,1,3140986.76835306,1694232.30719779
10696,1616181STMH,1,PRIV,ACT,,3,5321.08,,,,,,,0,24"" Type D grate cover,5322.8572208,1,3151277.22677472,1694233.62543663
10697,23711STMH,1,DPUB,ACT,,,,,,,,,,,,5218,1,3140922.72976723,1694234.83868881
10698,1459775STMH,1,DDWD,ACT,3/23/1937 12:00:00 AM,,,,,,,,,0,,5303.53367749,1,3148046.9366474,1694241.75731014
10699,23690STMH,1,DPUB,ACT,,,,,,,,,,,,5246,1,3144337.91125706,1694245.08571555
10700,23685STMH,1,DPUB,ACT,,,,,,,,,,,,5260.18,1,3144700.39740872,1694247.41018596
10701,23683STMH,1,DPUB,ACT,6/1/1911 12:00:00 AM,,,,,,,,,,,5218.83,1,3141278.87177148,1694247.45874231
10702,23676STMH,1,DPUB,ACT,6/1/1911 12:00:00 AM,,,5211.91,,,,,,7.32,,5219.23,1,3139130.39805005,1694249.31044464
10703,23671STMH,1,DPUB,ACT,6/1/1911 12:00:00 AM,,,5212.93,,,,,,7.6,,5220.53,1,3140186.47336572,1694251.24154313
10704,698203STMH,1,DPUB,ACT,6/18/2009 12:00:00 AM,4,,5214.3,5214.35,,,,,7.36,,5221.66,1,3139842.82772756,1694251.45053221
10705,23667STMH,1,DPUB,ACT,6/1/1911 12:00:00 AM,,,5211.53,,,,,,8.47,,5220,1,3140589.08706181,1694252.23137055
10706,23663STMH,1,DPUB,ACT,6/1/1911 12:00:00 AM,,,,,,,,,,,5220.85,1,3139473.16048789,1694253.34062029
10707,23657STMH,1,DPUB,ACT,,,,5221.38,5221.23,,,,,5229.63,Tap Manhole,5229.63,1,3142656.12426631,1694256.1634493
10708,600250STMH,1,DPUB,ACT,,,,5220.38,5221.6,5219.25,,,,9.24,,5228.69,1,3142613.34876131,1694257.95806514
10709,600248STMH,1,DPUB,ACT,7/7/2007 12:00:00 AM,,,5216.93,5216.73,,,,,10.52,,5227.86,1,3142536.68716922,1694258.12735613
10710,23655STMH,1,DPUB,ACT,1/1/1899 12:00:00 AM,,,5226.81,5226.74,,,,,8.27,,5235.01,1,3142956.56592265,1694258.36915354
10711,23652STMH,1,DPUB,ACT,,,,5335.68,,,,,,5334,,5334,1,3172714.99131382,1694259.72348155
10712,23650STMH,1,DPUB,ACT,1/1/1899 12:00:00 AM,,,5231.57,5229.8,5226.26,,,,13.74,,5240,1,3143354.19373631,1694260.56239063
