OBJECTID,FACILITYID,SUBTYPE,UNITKIND,OWNER,LIFECYCLESTATUS,INSTALLDATE,LENGTH,MULTIINLETCOUNT,RIM_ELEV,INVERT1,INVERT2,GROUNDELEVATION,ENABLED,x,y
12736,30113STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3144229.11259015,1686972.40275438
12737,1631650STIL,1,OTHR,PRIV,ACT,9/15/2022 12:00:00 AM,,1,5397.6,5396.42,5396.42,,1,3166803.29349156,1686977.14355855
12738,30099STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3142322.81062847,1686978.58121972
12739,48951STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3142361.23213956,1686978.58121972
12740,30098STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3141650.18861414,1686979.15405321
12741,48950STIL,98,UNKN,DPUB,ACT,,,1,,,,,1,3142029.38503423,1686979.58974788
12742,635646STIL,99,OTHR,DPKS,ACT,11/21/2003 12:00:00 AM,,1,,5387.98,,,1,3171831.94911665,1686979.66881597
12743,30096STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3141990.67513789,1686979.70326471
12744,48949STIL,2,NO14,DPUB,ACT,,,2,,,,,1,3141704.09959556,1686981.19079454
12745,1631698STIL,1,OTHR,PRIV,ACT,9/15/2022 12:00:00 AM,,1,5397.57,5396.42,,,1,3166778.70134914,1686982.3492568
12746,30087STIL,3,UNKN,DPUB,ACT,,,1,,,,,1,3153442.95669523,1686984.73212604
